heb_token,eng_word,num,gen
אותיות,ʔotiyōt,pl,ms
שקט,šēqeṭ,sg,ms
סביבון,sevivōn,sg,ms
מקהלת,maqhelāt,sg,fm
חתלתול,xataltūl,sg,ms
חריץ,xarīc,sg,ms
שקדיה,šqediyā,sg,fm
פז,paz,sg,ms
ריבועים,ribuʕīm,pl,ms
שוטר,šoṭēr,sg,ms
מסוק,masōq,sg,ms
סירה,sirā,sg,fm
אוניברסיטה,ʔunivērsiṭa,sg,fm
בכי,bēḳi,sg,ms
מטוס,maṭōs,sg,ms
מרפסת,mirpēset,sg,fm
פרות,parōt,pl,fm
כנף,kanāf,sg,fm
רפת,rēfet,sg,fm
חדרים,xadarīm,pl,ms
התקדמות,hitqadmūt,sg,fm
אמן,ʔamān,sg,ms
ערב,ʕērev,sg,fm
כוונה,kawanā,sg,fm
ריבה,ribā,sg,fm
הנאה,hanaʔā,sg,fm
חלווה,xālwa,sg,fm
משפחת,mišpāxat,sg,fm
קקאו,qaqāʔu,sg,ms
אגוז,ʔegōz,sg,ms
אגוזים,ʔegozīm,pl,ms
זקן,zaqēn,sg,ms
זקנה,zqenā,sg,fm
שנים,šanīm,pl,fm
סנטר,sanṭēr,sg,ms
מצח,mēcax,sg,ms
פיצה,pīca,sg,fm
שריטה,ṣriṭā,sg,fm
ריצ,riç_raç,sg,ms
דיסה,daysā,sg,fm
מפית,mapīt,sg,fm
כיווון,kiwūn,sg,ms
כלבה,kalbā,sg,fm
שנתיים,šnatāyim,,fm
קיצור,qicūr,sg,ms
ספל,sēfel,sg,ms
קומקום,qumqūm,sg,ms
פינג,ping_pong,sg,ms
כיסאות,kisaʔōt,pl,ms
מכנס,miḳnās,sg,ms
סופר,sūper,sg,ms
ספורט,sporṭ,sg,ms
ענין,ʕinyān,sg,ms
שרותים,šerutīm,pl,ms
מרק,marāq,sg,ms
עוף,ʕof,sg,ms
פרורילחם,perurēylēxem,pl,ms
חסה,xāsa,sg,fm
פשטידת,pašṭidāt,sg,fm
מלפפון,melafefōn,sg,ms
פנקיק,pānqeyq,sg,ms
פירות,peyrōt,pl,ms
יין,yāyin,sg,ms
עוגיה,ʕugiyā,sg,fm
שולים,bišulīm,pl,ms
קרון,qarōn,sg,ms
שמיכות,ṣmiḳōt,pl,fm
את,ʕacmī,sg,fm
שאר,šʔar,sg,ms
קוביה,qubiyā,sg,fm
פלסטיק,plāsṭiq,sg,ms
צלעות,claʕōt,pl,ms
המלצה,hamlacā,sg,fm
בסיס,basīs,sg,ms
משענת,mišʕēnet,sg,fm
קטינה,qṭinā,sg,fm
מושב,mošāv,sg,ms
מכנסיו,miḳnasāyw,pl,ms
עדינות,ʕadinūt,sg,fm
סבלנות,savlanūt,sg,fm
שידורים,šidurīm,pl,ms
דיסת,daysāt,sg,fm
קוואקר,qwāʔqer,sg,ms
כתם,kētem,sg,ms
פירמידות,piramīdot,pl,fm
פירמידה,piramīda,sg,fm
עיר,ʕir,sg,ms
טניס,ṭēnis,sg,ms
קוצים,qocīm,pl,ms
חניכה,xaniḳā,sg,fm
כוסית,kosīt,sg,fm
סוג,sug,sg,ms
דשא,dēšeʔ,sg,ms
רחבי,raxvēy,pl,ms
שכנה,šḳenā,sg,fm
נילון,nāylon,sg,ms
פס,pas,sg,ms
כתב,ktav,sg,ms
נקודה,nequdā,sg,fm
גורים,gurīm,pl,ms
כדורסל,kadursāl,sg,ms
קטר,qaṭār,sg,ms
שמו,šmo,sg,ms
אושר,ʔōšer,sg,ms
עמוד,ʕamūd,sg,ms
מרכז,merkāz,sg,ms
אמפלפייר,ʔāmplifayer,sg,ms
תיקון,tiqūn,sg,ms
קולות,qolōt,pl,ms
אותות,ʔotōt,sg,ms
אופן,ʔōfen,sg,ms
גרעין,garʕīn,sg,ms
ליבה,libā,sg,fm
אדמה,ʔadamā,sg,fm
מאוורר,meʔawrēr,sg,ms
ברכה,braḳā,sg,fm
יצור,yecūr,sg,ms
מוץ,moc,sg,ms
עלייך,ʕalāyiḳ,pl,ms
הצלחה,haclaxā,sg,fm
מרפק,marpēq,sg,ms
על,šforfēret,sg,fm
חוגה,xugā,sg,fm
קו,qaw,sg,ms
חצאית,xacaʔīt,sg,fm
שק,ṣaq,sg,ms
בגדי,bigdēy,pl,ms
התחשבות,hitxašvūt,sg,fm
צוות,cēwet,sg,ms
בועה,buʕā,sg,fm
תפוחאדמה,tapūaxʔadamā,sg,ms
מכונה,meḳonā,sg,fm
שכנים,šḳenīm,pl,ms
נעלי,naʕalāy,pl,fm
אצבע,ʔēcbaʕ,sg,fm
מנצ,mānçiz,sg,ms
בסקוויט,bisqwīṭ,sg,ms
קינמון,qinamōn,sg,ms
גדותיה,gdotēyha,pl,fm
חדראוכל,xadārʔōḳel,sg,ms
פעמים,peʕamīm,pl,fm
מדבר,midbār,sg,ms
גלידות,glīdot,pl,fm
חמאה,xemʔā,sg,fm
נזקים,nezaqīm,pl,ms
סכינים,sakinīm,pl,ms
פנתר,pantēr,sg,ms
קופים,qofīm,pl,ms
בננות,banānot,pl,fm
שרפרף,šrafrāf,sg,ms
מסור,masōr,sg,ms
קרחת,qarāxat,sg,fm
גבות,gabōt,pl,fm
מקור,maqōr,sg,ms
עניני,ʕinyanēy,pl,ms
פילים,pilīm,pl,ms
אקורדיון,ʔaqordiyōn,sg,ms
הפסקה,hafsaqā,sg,fm
אפו,ʔapō,sg,ms
מנה,manā,sg,fm
קשוטים,qišuṭīm,pl,ms
קרציות,qarciyōt,pl,fm
עדשים,ʕadašīm,pl,fm
אורחים,ʔorxīm,pl,ms
אפרוחים,ʔefroxīm,pl,ms
חזיר,xazīr,sg,ms
אסירתציון,ʔasirātciyōn,sg,fm
קיפוד,qipōd,sg,ms
המהומים,himhumīm,pl,ms
כתף,katēf,sg,fm
לכלוכים,liḳluḳīm,pl,ms
פינוק,pinūq,sg,ms
נדיבות,nedivūt,sg,fm
שירי,širēy,pl,ms
חלה,xalā,sg,fm
נמלה,nemalā,sg,fm
תחנה,taxanā,sg,fm
וו,waw,sg,ms
לולאה,lulaʔā,sg,fm
עגלים,ʕagalīm,pl,ms
נסיעה,nesiʕā,sg,fm
חיייה,xayēyha,pl,ms
גלגלים,galgalīm,pl,ms
טעם,ṭāʕam,sg,ms
דובדבן,duvdevān,sg,ms
פשטידה,pašṭidā,sg,fm
קציצה,qcicā,sg,fm
פאה,peʔā,sg,fm
לחש,lāxaš,sg,ms
פרפרי,parparēy,pl,ms
רשת,rēšet,sg,fm
נוחות,noxūt,sg,fm
תוכנית,toḳnīt,sg,fm
נעליביית,naʕalēybāyit,pl,fm
אנפילאות,ʔanpilaʔōt,pl,fm
קוץ,qoc,sg,ms
מזמוז,mizmūz,sg,ms
רמז,rēmez,sg,ms
פח,pax,sg,ms
ידך,yadēḳ,sg,fm
אהיל,ʔahīl,sg,ms
כרס,kēres,sg,fm
ענקית,ʕanaqīt,sg,fm
מלפפונים,melafefonīm,pl,ms
חתיכת,xatiḳāt,sg,fm
ניצולת,nicolāt,sg,fm
פוליו,pōlyo,sg,ms
דבר,ʔem,sg,fm
הפתעה,haftaʕā,sg,fm
סדרה,sidrā,sg,fm
ארגמן,ʔargamān,sg,ms
גדר,gadēr,sg,fm
מחבואים,maxboʔīm,pl,ms
קלפים,qlafīm,pl,ms
ידו,yadō,sg,fm
פומלית,pomelīt,sg,fm
סכינאי,sakināʔy,sg,ms
מסיבה,mesibā,sg,fm
אחיות,ʔaxayōt,pl,fm
אחות,ʔaxōt,sg,fm
פינת,pināt,sg,fm
עליהם,ʕaleyhēm,pl,ms
אשמתה,ʔašmatāh,sg,fm
פלח,pēlax,sg,ms
פומליות,pomeliyōt,pl,fm
זוגתי,zugatī,sg,ms
אזור,ʔezōr,sg,ms
רשומים,rišumīm,pl,ms
פינות,pinōt,pl,fm
לחמניה,laxmaniyā,sg,fm
לייל,lāyil,sg,ms
גיבורי,giborēy,pl,ms
נשות,nešōt,pl,fm
אסון,ʔasōn,sg,ms
ספינות,sfinōt,pl,fm
מפרש,mifrāṣ,sg,ms
ספינה,sfinā,sg,fm
עוגן,ʕōgen,sg,ms
זמר,zamār,sg,ms
נבל,nēvel,sg,ms
שירה,širā,sg,fm
גיבורים,giborīm,pl,ms
מגן,magēn,sg,ms
חנית,xanīt,sg,ms
כידון,kidōn,sg,ms
ידית,yadīt,sg,fm
מחנה,maxanē,sg,ms
חלום,xalōm,sg,ms
ינצחו,nicaxōn,sg,ms
בחורים,baxurīm,pl,ms
יוחסין,yoxasīn,sg,ms
דגל,dēgel,sg,ms
אשתו,ʔištō,sg,fm
כרכרה,kirkarā,sg,fm
לוחמים,loxamīm,pl,ms
מנדרינה,mandarīna,sg,fm
מרגרינה,margarīna,sg,fm
מגינים,maginīm,pl,ms
נחש,naxāš,sg,ms
פידי,lapidēy,pl,ms
לו,lewayā,sg,fm
מפלץ,miflāc,sg,ms
עינו,ʕeynō,sg,fm
צקלופ,ciqlōp,sg,ms
שוקו,šōqo,sg,ms
חמודים,xamudīm,pl,ms
מגש,magāš,sg,ms
פלא,pēleʔ,sg,ms
שכבה,šiḳvā,sg,fm
פקידה,pqidā,sg,fm
שטן,ṣaṭān,sg,ms
שיאי,ṣiʔēy,pl,ms
פיתול,pitūl,sg,ms
מעדר,maʕadēr,sg,ms
מעקה,maʕaqē,sg,ms
קצב,qēcev,sg,ms
תפוחיאדמה,tapuxēyʔadamā,pl,ms
טעויות,ṭaʕuyōt,pl,fm
עפיפון,ʕafifōn,sg,ms
קור,qur,sg,ms
רימון,rimōn,sg,ms
עט,ʕeṭ,sg,ms
גרביים,garbāyim,pl,ms
עמל,ʕamāl,sg,ms
ירך,yarēḳ,sg,fm
עוגות,ʕugōt,pl,fm
ידיה,yadēyha,pl,fm
מבט,mabāṭ,sg,ms
כד,kad,sg,ms
כפר,kfar,sg,ms
אלף,ʔēlef,sg,ms
התפתחות,hitpatxūt,sg,fm
קוקו,qūqu,sg,ms
סיכה,sikā,sg,fm
פשר,pēšer,sg,ms
פלסטלינה,plasṭelīna,sg,fm
סירנה,sirēna,sg,fm
צופר,cofār,sg,ms
יומיים,yomāyim,,ms
אצבעון,ʔecbaʕōn,sg,ms
אצבעונים,ʔecbeʕonīm,pl,ms
אפרסק,ʔafarsēq,sg,ms
זעטוטה,zaʕaṭuṭā,sg,fm
קייץ,qāyic,sg,ms
כשרונות,kišronōt,pl,ms
אשכול,ʔeškōl,sg,ms
גביע,gavīaʕ,sg,ms
פסתוק,fīstuq,sg,ms
זינוק,zinūq,sg,ms
יער,yāʕar,sg,ms
סרטן,sarṭān,sg,ms
חסידה,xasidā,sg,fm
כרית,karīt,sg,fm
איל,ʔayāl,sg,ms
חילזון,xilazōn,sg,ms
שבלול,šablūl,sg,ms
דבורה,dvorā,sg,fm
צרעה,cirʕā,sg,fm
סנאי,snaʔī,sg,ms
רקע,rēqaʕ,sg,ms
קורים,qurīm,pl,ms
כרטיס,karṭīs,sg,ms
לשון,lešōn,sg,fm
מליצה,melicā,sg,fm
גירי,girēy,pl,ms
שמן,šēmen,sg,ms
רופאה,rofʔā,sg,fm
קערה,qeʕarā,sg,fm
סטטוסקופ,sṭaṭosqōp,sg,ms
ציפורניים,cipornāyim,pl,fm
רפלקסים,riflēqsim,pl,ms
ניתוחים,nituxīm,pl,ms
פנצטה,pincēṭa,sg,fm
בדיקת,bdiqāt,sg,fm
סט,seṭ,sg,ms
תחפושות,taxpoṣōt,pl,fm
עניבה,ʕanivā,sg,fm
שרווול,šarwūl,sg,ms
שוק,šuq,sg,ms
פשפשים,pišpešīm,pl,ms
אפודה,ʔafudā,sg,fm
אפונים,ʔafunīm,pl,fm
מותניים,motnāyim,pl,fm
מגבות,magavōt,pl,fm
חבילה,xavilā,sg,fm
הצעה,hacaʕā,sg,fm
קרם,qrem,sg,ms
שקיק,ṣaqīq,sg,ms
תירסים,tīrasim,pl,ms
ירידה,yeridā,sg,fm
צורך,ʕaliyā,sg,fm
פנינו,panēynu,pl,ms
מסעד,misʕād,sg,ms
חתולים,xatulīm,pl,ms
הצגות,hacagōt,pl,fm
מכחול,mikxōl,sg,ms
מכחולים,mikxolīm,pl,ms
פטיש,paṭīš,sg,ms
קרקס,qirqās,sg,ms
מחצלת,maxcēlet,sg,fm
משמעות,mašmaʕūt,sg,fm
שחור,šxor,sg,ms
אורחת,ʔorāxat,sg,fm
צפרדעים,cfardeʕīm,pl,fm
עקבות,ʕiqvōt,pl,fm
סיד,sid,sg,ms
רעמה,raʕamā,sg,fm
צבעיפנדה,civʕēypānda,pl,ms
דוגמה,dugmā,sg,fm
חברות,xaverōt,pl,fm
טון,ṭon,sg,ms
בקשה,baqašā,sg,fm
אובן,ṭōsṭer_ʔōven,sg,ms
מצוקה,mecuqā,sg,fm
פתיתי,ptitēy,pl,ms
סיבה,sibā,sg,fm
מנגינה,manginā,sg,fm
אקדח,ʔeqdāx,sg,ms
אקדחים,ʔeqdaxīm,pl,ms
ידיות,yadiyōt,pl,fm
ברזל,barzēl,sg,ms
חידון,xidōn,sg,ms
צחוק,cxoq,sg,ms
תקווה,tiqwā,sg,fm
מזון,mazōn,sg,ms
אשפתות,ʔašpatōt,pl,fm
שלום,šlom,sg,ms
פיקוד,piqūd,sg,ms
אבנים,ʔavanīm,pl,fm
מסיבת,mesibāt,sg,fm
מאכלים,maʔaḳalīm,pl,ms
רוב,rov,sg,ms
תודות,todōt,pl,fm
תרגיל,targīl,sg,ms
קצר,qēcer,sg,ms
המשך,hemšēḳ,sg,
תומך,tumēḳ,sg,ms
מבסוט,mabsūṭ,sg,ms
ארובה,ʔarubā,sg,fm
חלוק,xalūq,sg,ms
גרגורים,girgurīm,pl,ms
שריון,širyōn,sg,ms
כתר,kēter,sg,ms
מלח,malāx,sg,ms
כפתור,kaftōr,sg,ms
קור,qor,sg,ms
כפור,kfor,sg,ms
קינוח,qinūax,sg,ms
טרנספורמטור,ṭransformāṭor,sg,ms
ספק,sapāq,sg,ms
ידי,yadī,sg,fm
סיח,syax,sg,ms
פיתרון,pitarōn,sg,ms
חידה,xidā,sg,fm
מאסטר,māʔsṭer,sg,ms
טואלט,ṭuʔalēṭ,sg,ms
פעולות,peʕulōt,pl,fm
ניגוב,nigūv,sg,ms
אשכולים,ʔeškolīm,pl,ms
טבלה,ṭavlā,sg,fm
דמעותתנין,dmaʕōttanīn,pl,fm
זרקנית,zarqanīt,sg,fm
פזלים,pāzelim,pl,ms
ידנו,yadēnu,sg,fm
תותים,tūtim,pl,ms
נחת,nāxat,sg,ms
הורייך,horāyiḳ,pl,ms
הפגנה,hafganā,sg,fm
תאריך,taʔarīḳ,sg,ms
אימהות,ʔimahōt,pl,fm
שנאי,šanāʔy,sg,ms
הזדמנות,hizdamnūt,sg,fm
החלפה,haxlafā,sg,fm
שכונה,šḳunā,sg,fm
משושה,mešušē,sg,ms
כשרון,kišarōn,sg,ms
נחריים,nexirāyim,pl,ms
נירות,neyarōt,pl,ms
מסטיקים,māsṭiqim,pl,ms
ברק,barāq,sg,ms
עלינו,ʕalēynu,pl,ms
קצפת,qacēfet,sg,fm
אמיתם,ʔamitām,sg,fm
שלווות,šalwōt,pl,fm
פרי,pri,sg,ms
חלווות,xālwot,pl,fm
זר,zer,sg,ms
כוסתה,koste,sg,fm
טנק,ṭanq,sg,ms
מתן,matān,sg,ms
מרחק,merxāq,sg,ms
קרמבו,qrēmbo,sg,ms
חשבונאות,xešbonaʔūt,sg,ms
עליו,ʕalāyw,pl,ms
קטשופים,qēṭšopim,pl,ms
קטשופ,qēṭšop,sg,ms
פלחים,plaxīm,pl,ms
קלמנטינות,qlemanṭīnot,pl,fm
אנפילאה,ʔanpilaʔā,sg,fm
תנוחת,tnuxāt,sg,fm
כאב,keʔēv,sg,ms
מעיל,meʕīl,sg,ms
נירטואלט,neyārṭuʔalēṭ,sg,fm
תחבושת,taxbōšet,sg,fm
חיפושיות,xipušiyōt,pl,fm
קקאים,qāqaʔim,pl,ms
מדינה,medinā,sg,fm
חבל,xēvel,sg,ms
גברתי,gvirtī,sg,fm
תווים,tawīm,pl,ms
שיפור,šipūr,sg,ms
קלף,qlaf,sg,ms
מדבקה,madbeqā,sg,fm
ליצנים,leycanīm,pl,ms
סדינים,sdinīm,pl,ms
סוודר,swēder,sg,ms
סווטשרט,swēṭšerṭ,sg,ms
רצ,rīçraç,sg,ms
לטפל,rīçraçim,pl,ms
מטפחת,miṭpāxat,sg,fm
התעמלות,hitʕamlūt,sg,ms
דובה,dubā,sg,fm
מסמרים,masmerīm,pl,ms
פואנטה,poʔēnṭa,sg,fm
עכברה,ʕaḳbarā,sg,fm
צלופן,celofān,sg,ms
מסמר,masmēr,sg,ms
רקטה,raqēṭa,sg,fm
טיל,ṭil,sg,ms
מחוגים,mexogīm,pl,ms
מונח,munāx,sg,ms
גברת,gvēret,sg,fm
כעך,keʕāḳ,sg,ms
מרבד,marvād,sg,ms
ארץ,ʔārec,sg,ms
סיכויים,sikuyīm,pl,ms
גועלנפש,gōʕalnēfeš,sg,ms
בצק,bacēq,sg,ms
כלבים,kēlevyam,sg,ms
חרדון,xardōn,sg,ms
לטאה,leṭaʔā,sg,fm
סמרטוטים,smarṭuṭīm,pl,ms
מכשיר,maḳšīr,sg,ms
שיעול,šiʕūl,sg,ms
אלימות,ʔalimūt,sg,fm
אילן,ʔilān,sg,ms
חיוג,xiyūg,sg,ms
פנגווין,pīngwin,sg,ms
דולפין,dolfīn,sg,ms
צבי,cvi,sg,ms
קרניים,qarnāyim,pl,fm
תוכי,tūki,sg,ms
תנשמת,tinšēmet,sg,fm
פלמנגו,flamīngo,sg,ms
עקרב,ʕaqrāb,sg,ms
קרנף,qarnāf,sg,ms
סוסים,susyam,sg,ms
ברבורי,barburī,sg,ms
קנגורו,qēnguru,sg,ms
טווס,ṭawās,sg,ms
יערות,yeʕarōt,pl,ms
כרבולת,karbōlet,sg,fm
דרכה,darkāh,sg,fm
מיכל,meyḳāl,sg,ms
תולעים,tolaʕīm,pl,fm
תאבון,teʔavōn,sg,ms
חרצן,xarcān,sg,ms
פריחות,prixōt,pl,fm
השתקפות,hištaqfūt,sg,fm
אוויר,ʔawīr,sg,ms
יקנטון,yaqinṭōn,sg,ms
ציוד,ciyūd,sg,ms
סוד,sod,sg,ms
ביתחולים,beytxolīm,sg,ms
צל,cel,sg,ms
קרני,qarnēy,pl,fm
ממתקים,mamtaqīm,pl,ms
דעתך,daʕatēḳ,sg,ms
משמישים,mīšmišim,pl,ms
משמיש,mīšmiš,sg,ms
יום,wikūax,sg,ms
מדף,madāf,sg,ms
פיקוס,fīqus,sg,ms
ברווזים,barwazīm,pl,ms
לול,lul,sg,ms
ריח,rēyax,sg,ms
אוזניה,ʔozniyā,sg,fm
מציעה,meciʕā,sg,fm
על,gabeyhēm,pl,ms
חוטמים,xoṭamīm,pl,ms
השכבה,haškavā,sg,fm
כרים,karīm,pl,ms
בקשתה,baqašatāh,sg,fm
תקליטים,taqliṭīm,pl,ms
עטיפות,ʕaṭifōt,pl,fm
סלט,salāṭ,sg,ms
שממית,ṣmamīt,sg,fm
משבצות,mišbacōt,pl,fm
משבצת,mišbēcet,sg,fm
חלקם,xelqām,sg,ms
לבנים,levanīm,pl,ms
פטריה,piṭriyā,sg,fm
צידך,cidēḳ,sg,ms
לבנה,lābane,sg,ms
משק,mēšeq,sg,ms
אנדיבידולים,ʔindividuālim,pl,ms
תחום,txum,sg,ms
דיון,diyūn,sg,ms
ששון,ṣaṣōn,sg,ms
פטוטרת,pṭoṭēret,sg,fm
שד,šed,sg,ms
מדחום,madxom,sg,ms
דלק,dēleq,sg,ms
הא,ʔamirā,sg,fm
ארמון,ʔarmōn,sg,ms
זהב,zahāv,sg,ms
גרודים,gerudīm,pl,ms
מרוצה,merucā,sg,fm
פרשת,parašāt,sg,fm
גרוש,gerūš,sg,ms
מרשמים,miršamīm,pl,ms
תרופות,trufōt,pl,fm
תשובה,tšuvā,sg,fm
קפוצ,qapuçōn,sg,ms
ססמה,sismā,sg,fm
ענף,ʕanāf,sg,ms
חורשה,xoršā,sg,fm
וילונות,wilonōt,pl,ms
תחת,tāxat,sg,ms
לימונים,limonīm,pl,ms
כלי,kley,pl,ms
מכונתכביסה,meḳonātkvisā,sg,fm
ארון,ʔarōn,sg,ms
פרוסות,prusōt,pl,fm
מסע,masāʕ,sg,ms
אוהבים,ʔohavīm,pl,ms
כמות,kamūt,sg,fm
ביתמרקחת,beytmerqāxat,sg,ms
רולים,rōlim,pl,ms
אמבט,ʔambāṭ,sg,ms
ילדתי,yaldatī,sg,fm
פצעים,pcaʕīm,pl,ms
אלרגיה,ʔelērgya,sg,fm
סבונים,sabonīm,pl,ms
